Colwellia,129
Isosphaera,128
Magnetococcus,128
Congregibacter,127
Hirschia,127
Pectobacterium,127
unclassified (derived from Rhodobacterales),124
Cellvibrio,121
Mobiluncus,121
Citreicella,120
Geobacillus,119
Rubrobacter,119
Desulfitobacterium,118
Halothiobacillus,118
Dickeya,117
Nitrococcus,117
Alkaliphilus,116
Halorhodospira,115
Reinekea,115
Rickettsia,115
Xenopus,115
unclassified (derived from Bacteroidetes),115
Desulfobulbus,114
Arcanobacterium,113
Thiomicrospira,110
Faecalibacterium,109
Sphaerobacter,109
Lactococcus,107
unclassified (derived from Actinobacteria (class)),107
Campylobacter,106
Chlorobaculum,106
Herpetosiphon,106
Oceanicaulis,106
Pantoea,106
Ktedonobacter,105
Neptuniibacter,105
Pseudovibrio,103
unclassified (derived from Poribacteria),103
Veillonella,102
Psychroflexus,100
Actinobacillus,99
Methylocystis,99
Staphylococcus,99
Chloroflexus,98
Gluconobacter,98
Roseburia,95
Nostoc,94
Microbacterium,93
Roseibium,93
Danio,91
Idiomarina,90
unclassified (derived from Clostridiales),90
Syntrophus,89
Tropheryma,89
unclassified (derived from Lachnospiraceae),89
Kangiella,88
Prochlorococcus,88
Salinibacter,88
Desulfotomaculum,87
Dorea,87
Oceanibulbus,87
Anabaena,86
Candidatus Puniceispirillum,86
Acidobacterium,85
Aliivibrio,85
Asticcacaulis,85
Halomonas,81
Turicibacter,81
Meiothermus,79
Francisella,78
Mus,78
Cronobacter,77
Desulfotalea,77
Syntrophobacter,77
Ciona,76
Pelodictyon,75
Weeksella,75
Coprococcus,74
Desulfomicrobium,74
Fusobacterium,74
Photorhabdus,73
Rattus,73
Thalassobium,73
Treponema,73
Ahrensia,72
Alteromonas,72
Candidatus Protochlamydia,72
Homo,72
Parvularcula,72
unclassified (derived from Erysipelotrichaceae),72
Desulfuromonas,71
Oxalobacter,71
Providencia,71
Arabidopsis,70
Lautropia,70
Proteus,70
Rhodothermus,69
Branchiostoma,68
Gloeobacter,67
Marinomonas,67
Sordaria,67
Butyrivibrio,66
Tetraodon,66
Listeria,65
Pasteurella,65
Anopheles,64
Helicobacter,64
Moraxella,64
Beggiatoa,62
Coxiella,62
Methylophaga,61
Erwinia,60
Fulvimarina,60
Ricinus,60
Sulfurimonas,60
Synechocystis,60
unclassified (derived from Proteobacteria),60
Caldicellulosiruptor,59
unclassified (derived from Deltaproteobacteria),59
Aspergillus,58
Candidatus Pelagibacter,57
Chloroherpeton,56
Diplosphaera,56
Syntrophomonas,56
Parachlamydia,55
Teredinibacter,54
Thermoanaerobacter,54
Thermus,54
Eggerthella,53
Ethanoligenens,53
Collinsella,52
Dictyostelium,52
Edwardsiella,52
Akkermansia,51
Thermosinus,51
Acetivibrio,49
Bos,48
Buchnera,48
Ferrimonas,48
Symbiobacterium,48
Brachionus,47
Dichelobacter,46
Thermobaculum,46
Acaryochloris,45
Bacteriovorax,45
Phaeobacter,45
Coraliomargarita,44
Populus,44
Waddlia,44
Tribolium,43
Xenorhabdus,43
Granulicella,42
Oryzias,42
Slackia,42
Spirochaeta,42
Trichodesmium,42
unclassified (derived from Verrucomicrobiales),42
Acetobacter,41
Aedes,41
Glottidia,41
Leptotrichia,41
Mycoplasma,41
Thermosynechococcus,41
Arthrospira,40
Dehalococcoides,40
Gardnerella,40
Holdemania,40
Kingella,40
Candidatus Amoebophilus,39
Moorella,39
Pelotomaculum,39
Schistosoma,39
Trichoplax,39
Endoriftia,38
Mariprofundus,38
Sulfurovum,38
Anaerolinea,37
Desulfobacterium,37
Histophilus,37
Desulfococcus,36
Microcystis,36
Natranaerobius,36
Acidaminococcus,35
Catenibacterium,35
Denitrovibrio,35
Gasterosteus,35
Ixodes,35
Methanobrevibacter,35
Microcoleus,35
Oryza,35
Pseudoflavonifractor,35
Thermotoga,35
Brevibacillus,34
Caldanaerobacter,34
Lentisphaera,34
Aggregatibacter,33
Bermanella,33
Desulfurivibrio,33
Leptospirillum,33
Strongylocentrotus,32
Gallus,31
Kyrpidia,31
Terriglobus,31
Thermaerobacter,31
Alicyclobacillus,30
Carboxydothermus,30
Eurysternus,30
Filifactor,30
Oceanobacillus,30
Sebaldella,30
Wolinella,30
Anoxybacillus,29
Apis,29
Atopobium,29
Fibrobacter,29
Lepadella,29
Methylacidiphilum,29
Moritella,29
Saccoglossus,29
Truepera,29
Wolbachia,29
unclassified (derived from Oceanospirillales),29
Ailuropoda,28
Anaerotruncus,28
Cellulosilyticum,28
Chlamydia,28
Desulfatibacillum,28
Methanosphaerula,28
Nitratiruptor,28
Prosthecochloris,28
unclassified (derived from Vibrionaceae),28
Basfia,27
