Synechocystis,4958
Parvularcula,4939
Enterobacter,4935
Microcystis,4901
Idiomarina,4874
Alcanivorax,4858
Fusobacterium,4846
Photobacterium,4842
Thermotoga,4825
Klebsiella,4783
Octadecabacter,4768
Saccharopolyspora,4755
unclassified (derived from Peptostreptococcaceae),4717
Rickettsia,4709
Desulfococcus,4687
Halorhodospira,4681
Eubacterium,4647
Thermaerobacter,4615
Spirochaeta,4566
Nitrospira,4563
Congregibacter,4545
Caldanaerobacter,4544
Kribbella,4513
Sagittula,4474
Gluconobacter,4473
Thermobifida,4426
Gallionella,4408
Ahrensia,4404
unclassified (derived from Rhodobacterales),4396
Treponema,4366
Oxalobacter,4341
Helicobacter,4332
Actinobacillus,4329
Bifidobacterium,4307
Cellvibrio,4268
Nematostella,4206
Nakamurella,4170
Caldicellulosiruptor,4165
Saccharophagus,4150
Francisella,4093
Prochlorococcus,4052
unclassified (derived from Deltaproteobacteria),4002
Carboxydothermus,4000
Mycoplasma,4000
Pectobacterium,3999
Micromonospora,3993
Laribacter,3945
Nocardia,3923
Kangiella,3910
Oceanithermus,3722
Streptosporangium,3684
Colwellia,3667
Beutenbergia,3641
Shigella,3618
Paramecium,3603
Hirschia,3602
Methylobacter,3557
Moorella,3526
Candidatus Kuenenia,3510
Acidothermus,3504
Brevibacterium,3500
Dehalogenimonas,3496
Thermoanaerobacter,3441
Listeria,3423
Citrobacter,3419
Plesiocystis,3392
Trichodesmium,3362
Enterococcus,3342
Hydra,3339
Desulfatibacillum,3337
Arthrospira,3332
Oceanibulbus,3320
Denitrovibrio,3300
unclassified (derived from Verrucomicrobiales),3299
Blattabacterium,3290
Dickeya,3263
unclassified (derived from other sequences),3259
Desulfobacterium,3233
Pelotomaculum,3192
Alicyclobacillus,3169
Alteromonas,3161
Psychromonas,3158
Actinomyces,3154
Sulfurihydrogenibium,3103
Candidatus Pelagibacter,3077
Photorhabdus,3076
Akkermansia,3073
Janibacter,3065
Reinekea,3055
Pantoea,3003
Aquifex,2997
Arabidopsis,2984
Coraliomargarita,2978
Desulfomicrobium,2950
Actinosynnema,2925
Dictyoglomus,2894
Thermosipho,2880
Xylanimonas,2856
Acaryochloris,2852
Brevibacillus,2839
Catenulispora,2834
Dictyostelium,2833
Kineococcus,2829
Kytococcus,2828
Diplosphaera,2801
Cellulomonas,2796
Halothermothrix,2791
Thermomonospora,2724
Bacteriovorax,2697
Sulfitobacter,2694
Sulfurimonas,2692
Ruminococcus,2647
Exiguobacterium,2628
Coxiella,2609
Syntrophomonas,2596
Oceanobacillus,2594
Arcobacter,2582
Candidatus Puniceispirillum,2571
Halothiobacillus,2553
Providencia,2530
Desulfotalea,2525
Methylacidiphilum,2523
Desulfurivibrio,2507
Thermosynechococcus,2494
Micrococcus,2470
Thiomicrospira,2446
Desulfuromonas,2440
Heliobacterium,2434
Halomonas,2428
Volvox,2421
Thermobispora,2393
Desulfurispirillum,2383
Stackebrandtia,2380
Intrasporangium,2354
Brachyspira,2348
Phaeobacter,2337
Selenomonas,2335
Xenorhabdus,2297
Erwinia,2226
Populus,2215
Caenorhabditis,2212
Dichelobacter,2194
Renibacterium,2189
Aliivibrio,2183
Citromicrobium,2134
Nocardiopsis,2133
Ricinus,2121
Terriglobus,2098
Saccharomonospora,2057
Kyrpidia,2053
Amycolatopsis,2050
Blautia,2046
Thermincola,2031
Deferribacter,2030
Natranaerobius,2029
Teredinibacter,2019
Nodularia,2012
Thermodesulfovibrio,2012
unclassified (derived from Burkholderiales),2004
Acetivibrio,1982
Pasteurella,1969
Lentisphaera,1964
Gordonia,1962
Microcoleus,1962
Wolbachia,1962
Sanguibacter,1957
Brachybacterium,1950
Acetobacter,1945
Leptospirillum,1927
Fibrobacter,1909
Desulfobulbus,1881
Leptotrichia,1868
Thalassobium,1855
Candidatus Protochlamydia,1839
Granulicella,1839
Calditerrivibrio,1831
Candidatus Sulcia,1820
Jonesia,1816
Drosophila,1801
Tolumonas,1795
Veillonella,1789
Candidatus Desulforudis,1783
Cardiobacterium,1769
Desulfarculus,1758
Proteus,1753
Thermosediminibacter,1718
Edwardsiella,1712
Kocuria,1704
Methylovorus,1703
Pyrococcus,1693
Cronobacter,1688
Methanospirillum,1687
Sebaldella,1683
Thermococcus,1661
Desulfohalobium,1658
Borrelia,1635
Ferrimonas,1630
Neptuniibacter,1620
Petrotoga,1617
Taylorella,1590
unclassified (derived from Erysipelotrichaceae),1584
Methylophaga,1582
Dethiobacter,1580
Anoxybacillus,1573
